 날짜,시간,청운효자동
 20190112, 1900, -2.600000 
 20190112, 2000, -2.800000 
 20190112, 2100, -2.800000 
 20190112, 2200, -2.800000 
 20190112, 2300, -2.100000 
 20190113, 0000, 0.500000 
 20190113, 0100, 3.100000 
 20190113, 0200, 5.300000 
 20190113, 0300, 7.000000 
 20190113, 0400, 7.500000 
 20190113, 0500, 7.300000 
 20190113, 0600, 6.600000 
 20190113, 0700, 5.200000 
 20190113, 0800, 3.900000 
 20190113, 0900, 2.800000 
 20190113, 1000, 1.900000 
 20190113, 1100, 1.300000 
 20190113, 1200, 0.800000 
 20190113, 1300, 0.100000 
 20190113, 1400, -0.300000 
 20190113, 1500, -0.500000 
 20190113, 1600, -1.000000 
 20190113, 1700, -0.900000 
 20190113, 1800, -1.300000 
 20190113, 1900, -1.600000 
 20190113, 2000, -1.800000 
 20190113, 2100, -2.200000 
 20190113, 2200, -2.000000 
 20190113, 2300, -1.300000 
 20190114, 0000, 0.100000 
 20190114, 0100, 2.000000 
 20190114, 0200, 3.400000 
 20190114, 0300, 4.100000 
 20190114, 0400, 4.800000 
 20190114, 0500, 5.000000 
 20190114, 0600, 4.800000 
 20190114, 0700, 3.900000 
 20190114, 0800, 3.100000 
 20190114, 0900, 2.600000 
 20190114, 1000, 2.400000 
 20190114, 1100, 2.200000 
 20190114, 1200, 2.200000 
 20190114, 1300, 2.200000 
 20190114, 1400, 2.400000 
 20190114, 1500, 2.400000 
 20190114, 1600, 2.100000 
 20190114, 1700, 1.700000 
 20190114, 1800, 1.000000 
 20190114, 1900, 0.100000 
 20190114, 2000, -0.900000 
 20190114, 2100, -1.500000 
 20190114, 2200, -2.000000 
 20190114, 2300, -1.100000 
 20190115, 0000, -0.400000 
 20190115, 0100, 0.000000 
 20190115, 0200, 0.200000 
 20190115, 0300, 0.500000 
 20190115, 0400, 2.100000 
 20190115, 0500, 2.000000 
 20190115, 0600, 0.800000 
 20190115, 0700, -1.400000 
 20190115, 0800, -2.900000 
 20190115, 0900, -4.300000 
 20190115, 1000, -5.500000 
 20190115, 1100, -6.200000 
 20190115, 1200, -6.400000 
 20190115, 1300, -6.800000 
 20190115, 1400, -7.000000 
 20190115, 1500, -7.200000 
 20190115, 1600, -7.600000 
 20190115, 1700, -8.100000 
 20190115, 1800, -9.000000 
 20190115, 1900, -9.200000 
 20190115, 2000, -9.500000 
 20190115, 2100, -9.900000 
 20190115, 2200, -9.500000 
 20190115, 2300, -8.700000 
 20190116, 0000, -6.400000 
 20190116, 0100, -5.100000 
 20190116, 0200, -4.400000 
 20190116, 0300, -3.300000 
 20190116, 0400, -2.300000 
 20190116, 0500, -1.600000 
 20190116, 0600, -1.100000 
 20190116, 0700, -2.400000 
 20190116, 0800, -3.200000 
 20190116, 0900, -3.100000 
 20190116, 1000, -3.100000 
 20190116, 1100, -3.000000 
 20190116, 1200, -2.700000 
 20190116, 1300, -2.600000 
 20190116, 1400, -2.500000 
 20190116, 1500, -2.200000 
 20190116, 1600, -2.300000 
 20190116, 1700, -2.100000 
 20190116, 1800, -1.900000 
 20190116, 1900, -2.200000 
 20190116, 2000, -2.100000 
 20190116, 2100, -2.900000 
 20190116, 2200, -2.800000 
 20190116, 2300, -1.700000 
 20190117, 0000, -0.200000 
 20190117, 0100, 1.000000 
 20190117, 0200, 2.500000 
 20190117, 0300, 3.300000 
 20190117, 0400, 3.300000 
 20190117, 0500, 3.500000 
 20190117, 0600, 3.900000 
 20190117, 0700, 2.400000 
 20190117, 0800, 1.300000 
 20190117, 0900, 0.600000 
 20190117, 1000, 0.000000 
 20190117, 1100, -0.800000 
 20190117, 1200, -1.500000 
 20190117, 1300, -1.900000 
 20190117, 1400, -1.800000 
 20190117, 1500, -2.700000 
 20190117, 1600, -3.300000 
 20190117, 1700, -3.300000 
 20190117, 1800, -3.700000 
 20190117, 1900, -4.000000 
 20190117, 2000, -4.400000 
 20190117, 2100, -4.300000 
 20190117, 2200, -4.300000 
 20190117, 2300, -3.300000 
 20190118, 0000, -0.600000 
 20190118, 0100, 2.900000 
 20190118, 0200, 4.600000 
 20190118, 0300, 5.400000 
 20190118, 0400, 6.200000 
 20190118, 0500, 6.000000 
 20190118, 0600, 5.200000 
 20190118, 0700, 4.000000 
 20190118, 0800, 2.900000 
 20190118, 0900, 2.100000 
 20190118, 1000, 1.500000 
 20190118, 1100, 1.500000 
 20190118, 1200, 1.300000 
 20190118, 1300, 0.700000 
 20190118, 1400, 0.400000 
 20190118, 1500, 0.600000 
 20190118, 1600, 0.500000 
 20190118, 1700, 0.100000 
 20190118, 1800, 0.100000 
 20190118, 1900, 0.200000 
 20190118, 2000, 0.400000 
 20190118, 2100, 0.500000 
 20190118, 2200, 0.800000 
 20190118, 2300, 1.700000 
 20190119, 0000, 2.900000 
 20190119, 0100, 3.900000 
 20190119, 0200, 5.200000 
 20190119, 0300, 6.600000 
 20190119, 0400, 7.900000 
 20190119, 0500, 8.000000 
 20190119, 0600, 8.200000 
 20190119, 0700, 7.200000 
 20190119, 0800, 5.600000 
 20190119, 0900, 4.400000 
 20190119, 1000, 3.900000 
 20190119, 1100, 4.000000 
 20190119, 1200, 4.100000 
 20190119, 1300, 4.200000 
 20190119, 1400, 4.000000 
 20190119, 1500, 3.300000 
 20190119, 1600, 2.400000 
 20190119, 1700, 1.900000 
 20190119, 1800, 0.900000 
 20190119, 1900, -0.100000 
 20190119, 2000, -1.000000 
 20190119, 2100, -1.900000 
 20190119, 2200, -2.400000 
 20190119, 2300, -2.100000 
 20190120, 0000, -1.400000 
 20190120, 0100, -0.400000 
 20190120, 0200, 0.000000 
 20190120, 0300, 1.300000 
 20190120, 0400, 1.400000 
 20190120, 0500, 1.200000 
 20190120, 0600, 0.900000 
 20190120, 0700, -0.300000 
 20190120, 0800, -1.500000 
 20190120, 0900, -2.500000 
 20190120, 1000, -3.300000 
 20190120, 1100, -4.100000 
 20190120, 1200, -4.900000 
 20190120, 1300, -5.200000 
 20190120, 1400, -5.500000 
 20190120, 1500, -5.600000 
 20190120, 1600, -6.200000 
 20190120, 1700, -6.400000 
 20190120, 1800, -6.300000 
 20190120, 1900, -6.300000 
 20190120, 2000, -6.200000 
 20190120, 2100, -6.300000 
 20190120, 2200, -6.400000 
 20190120, 2300, -4.500000 
 20190121, 0000, -2.500000 
 20190121, 0100, -0.700000 
 20190121, 0200, 0.400000 
 20190121, 0300, 0.300000 
 20190121, 0400, 2.400000 
 20190121, 0500, 3.300000 
 20190121, 0600, 4.200000 
 20190121, 0700, 3.600000 
 20190121, 0800, 3.300000 
 20190121, 0900, 2.600000 
 20190121, 1000, 2.100000 
 20190121, 1100, 1.800000 
 20190121, 1200, 1.000000 
 20190121, 1300, 0.000000 
 20190121, 1400, -0.900000 
 20190121, 1500, -1.200000 
 20190121, 1600, -1.500000 
 20190121, 1700, -1.900000 
 20190121, 1800, -2.300000 
 20190121, 1900, -2.400000 
 20190121, 2000, -2.900000 
 20190121, 2100, -3.100000 
 20190121, 2200, -3.100000 
 20190121, 2300, -1.800000 
 20190122, 0000, 0.600000 
 20190122, 0100, 4.200000 
 20190122, 0200, 6.300000 
 20190122, 0300, 6.800000 
 20190122, 0400, 6.900000 
 20190122, 0500, 6.300000 
 20190122, 0600, 6.600000 
 20190122, 0700, 5.000000 
 20190122, 0800, 4.000000 
 20190122, 0900, 3.500000 
 20190122, 1000, 3.000000 
 20190122, 1100, 2.600000 
 20190122, 1200, 2.200000 
 20190122, 1300, 1.600000 
 20190122, 1400, 1.500000 
 20190122, 1500, 0.600000 
 20190122, 1600, 0.400000 
 20190122, 1700, 0.000000 
 20190122, 1800, -0.400000 
 20190122, 1900, -0.500000 
 20190122, 2000, -0.400000 
 20190122, 2100, -0.700000 
 20190122, 2200, -0.300000 
 20190122, 2300, 0.400000 
 20190123, 0000, 2.800000 
 20190123, 0100, 4.400000 
 20190123, 0200, 5.000000 
 20190123, 0300, 5.800000 
 20190123, 0400, 6.400000 
 20190123, 0500, 6.700000 
 20190123, 0600, 6.800000 
 20190123, 0700, 5.200000 
 20190123, 0800, 3.600000 
 20190123, 0900, 2.600000 
 20190123, 1000, 1.600000 
 20190123, 1100, 0.900000 
 20190123, 1200, 0.200000 
 20190123, 1300, -0.200000 
 20190123, 1400, -0.700000 
 20190123, 1500, -1.800000 
 20190123, 1600, -2.600000 
 20190123, 1700, -2.800000 
 20190123, 1800, -3.100000 
 20190123, 1900, -3.600000 
 20190123, 2000, -4.100000 
 20190123, 2100, -4.100000 
 20190123, 2200, -4.400000 
 20190123, 2300, -3.300000 
 20190124, 0000, 0.200000 
 20190124, 0100, 2.700000 
 20190124, 0200, 4.300000 
 20190124, 0300, 5.200000 
 20190124, 0400, 6.000000 
 20190124, 0500, 6.200000 
 20190124, 0600, 5.900000 
 20190124, 0700, 4.100000 
 20190124, 0800, 2.400000 
 20190124, 0900, 1.500000 
 20190124, 1000, 0.400000 
 20190124, 1100, -0.400000 
 20190124, 1200, -1.000000 
 20190124, 1300, -1.200000 
 20190124, 1400, -1.400000 
 20190124, 1500, -1.400000 
 20190124, 1600, -1.700000 
 20190124, 1700, -1.500000 
 20190124, 1800, -2.000000 
 20190124, 1900, -2.300000 
 20190124, 2000, -2.900000 
 20190124, 2100, -3.400000 
 20190124, 2200, -3.600000 
 20190124, 2300, -2.600000 
 20190125, 0000, -0.300000 
 20190125, 0100, 0.900000 
 20190125, 0200, 1.600000 
 20190125, 0300, 1.500000 
 20190125, 0400, 2.100000 
 20190125, 0500, 2.300000 
 20190125, 0600, 1.700000 
 20190125, 0700, 0.500000 
 20190125, 0800, -0.600000 
 20190125, 0900, -1.200000 
 20190125, 1000, -1.600000 
 20190125, 1100, -2.300000 
 20190125, 1200, -2.800000 
 20190125, 1300, -3.000000 
 20190125, 1400, -3.300000 
 20190125, 1500, -3.900000 
 20190125, 1600, -4.800000 
 20190125, 1700, -4.900000 
 20190125, 1800, -5.200000 
 20190125, 1900, -6.000000 
 20190125, 2000, -5.900000 
 20190125, 2100, -5.800000 
 20190125, 2200, -6.300000 
 20190125, 2300, -5.500000 
 20190126, 0000, -3.500000 
 20190126, 0100, -1.100000 
 20190126, 0200, -0.800000 
 20190126, 0300, -0.300000 
 20190126, 0400, 0.800000 
 20190126, 0500, 2.000000 
 20190126, 0600, 1.400000 
 20190126, 0700, 0.900000 
 20190126, 0800, -0.100000 
 20190126, 0900, -0.700000 
 20190126, 1000, -1.100000 
 20190126, 1100, -1.700000 
 20190126, 1200, -2.300000 
 20190126, 1300, -3.000000 
 20190126, 1400, -3.700000 
 20190126, 1500, -4.300000 
 20190126, 1600, -4.700000 
 20190126, 1700, -5.300000 
 20190126, 1800, -5.800000 
 20190126, 1900, -6.000000 
 20190126, 2000, -6.100000 
 20190126, 2100, -6.200000 
 20190126, 2200, -6.300000 
 20190126, 2300, -4.900000 
 20190127, 0000, -1.700000 
 20190127, 0100, 1.900000 
 20190127, 0200, 3.600000 
 20190127, 0300, 4.400000 
 20190127, 0400, 4.500000 
 20190127, 0500, 4.500000 
 20190127, 0600, 3.700000 
 20190127, 0700, 3.000000 
 20190127, 0800, 2.800000 
 20190127, 0900, 2.700000 
 20190127, 1000, 2.600000 
 20190127, 1100, 2.600000 
 20190127, 1200, 2.500000 
 20190127, 1300, 2.300000 
 20190127, 1400, 2.400000 
 20190127, 1500, 2.600000 
 20190127, 1600, 2.500000 
 20190127, 1700, 2.200000 
 20190127, 1800, 2.700000 
 20190127, 1900, 2.800000 
 20190127, 2000, 2.400000 
 20190127, 2100, 1.800000 
 20190127, 2200, 0.700000 
 20190127, 2300, 0.400000 
 20190128, 0000, 0.900000 
 20190128, 0100, 1.600000 
 20190128, 0200, 2.200000 
 20190128, 0300, 3.300000 
 20190128, 0400, 3.700000 
 20190128, 0500, 4.400000 
 20190128, 0600, 3.800000 
 20190128, 0700, 2.400000 
 20190128, 0800, 1.300000 
 20190128, 0900, 0.400000 
 20190128, 1000, -0.300000 
 20190128, 1100, -1.300000 
 20190128, 1200, -1.900000 
 20190128, 1300, -1.800000 
 20190128, 1400, -2.400000 
 20190128, 1500, -2.800000 
 20190128, 1600, -3.600000 
 20190128, 1700, -4.100000 
 20190128, 1800, -4.400000 
 20190128, 1900, -4.700000 
 20190128, 2000, -5.100000 
 20190128, 2100, -5.300000 
 20190128, 2200, -5.400000 
 20190128, 2300, -3.500000 
 20190129, 0000, -0.300000 
 20190129, 0100, 2.400000 
 20190129, 0200, 4.100000 
 20190129, 0300, 4.600000 
 20190129, 0400, 6.300000 
 20190129, 0500, 6.500000 
 20190129, 0600, 6.600000 
 20190129, 0700, 4.300000 
 20190129, 0800, 2.200000 
 20190129, 0900, 0.900000 
 20190129, 1000, 0.200000 
 20190129, 1100, -0.200000 
 20190129, 1200, -0.500000 
 20190129, 1300, -0.700000 
 20190129, 1400, -0.600000 
 20190129, 1500, -0.700000 
 20190129, 1600, -0.900000 
 20190129, 1700, -0.700000 
 20190129, 1800, -1.100000 
 20190129, 1900, -1.700000 
 20190129, 2000, -1.900000 
 20190129, 2100, -2.500000 
 20190129, 2200, -2.400000 
 20190129, 2300, -1.100000 
 20190130, 0000, 1.800000 
 20190130, 0100, 3.900000 
 20190130, 0200, 4.900000 
 20190130, 0300, 5.500000 
 20190130, 0400, 6.600000 
 20190130, 0500, 6.200000 
 20190130, 0600, 6.400000 
 20190130, 0700, 4.800000 
 20190130, 0800, 3.800000 
 20190130, 0900, 3.100000 
 20190130, 1000, 2.400000 
 20190130, 1100, 2.000000 
 20190130, 1200, 2.000000 
 20190130, 1300, 2.100000 
 20190130, 1400, 2.300000 
 20190130, 1500, 1.600000 
 20190130, 1600, 1.200000 
 20190130, 1700, 0.600000 
 20190130, 1800, 0.000000 
 20190130, 1900, -0.300000 
 20190130, 2000, -0.800000 
 20190130, 2100, -1.200000 
 20190130, 2200, -1.600000 
 20190130, 2300, -1.600000 
 20190131, 0000, -1.600000 
 20190131, 0100, -1.600000 
 20190131, 0200, -1.600000 
 20190131, 0300, -1.300000 
 20190131, 0400, -0.100000 
 20190131, 0500, 0.100000 
 20190131, 0600, 0.000000 
 20190131, 0700, -1.500000 
 20190131, 0800, -2.800000 
 20190131, 0900, -3.700000 
 20190131, 1000, -4.500000 
 20190131, 1100, -4.800000 
 20190131, 1200, -5.100000 
 20190131, 1300, -5.600000 
 20190131, 1400, -6.300000 
 20190131, 1500, -6.700000 
 20190131, 1600, -7.000000 
 20190131, 1700, -7.200000 
 20190131, 1800, -7.300000 
 20190131, 1900, -7.100000 
 20190131, 2000, -7.100000 
 20190131, 2100, -7.000000 
 20190131, 2200, -6.800000 
 20190131, 2300, -5.300000 
 20190201, 0000, -1.500000 
 20190201, 0100, 0.500000 
 20190201, 0200, 1.400000 
 20190201, 0300, 2.600000 
 20190201, 0400, 2.000000 
 20190201, 0500, 1.900000 
 20190201, 0600, 1.500000 
 20190201, 0700, 1.400000 
 20190201, 0800, 0.500000 
 20190201, 0900, 0.700000 
 20190201, 1000, 0.300000 
 20190201, 1100, 0.500000 
 20190201, 1200, 0.000000 
 20190201, 1300, -0.700000 
 20190201, 1400, -1.400000 
 20190201, 1500, -1.800000 
 20190201, 1600, -2.300000 
 20190201, 1700, -2.700000 
 20190201, 1800, -3.000000 
 20190201, 1900, -2.800000 
 20190201, 2000, -2.000000 
 20190201, 2100, -1.500000 
 20190201, 2200, -1.100000 
 20190201, 2300, -0.700000 
 20190202, 0000, -0.100000 
 20190202, 0100, 0.600000 
 20190202, 0200, 2.100000 
 20190202, 0300, 3.200000 
 20190202, 0400, 3.800000 
 20190202, 0500, 4.600000 
 20190202, 0600, 5.800000 
 20190202, 0700, 5.200000 
 20190202, 0800, 3.500000 
 20190202, 0900, 3.400000 
 20190202, 1000, 3.500000 
 20190202, 1100, 3.700000 
 20190202, 1200, 3.600000 
 20190202, 1300, 3.600000 
 20190202, 1400, 3.700000 
 20190202, 1500, 3.500000 
 20190202, 1600, 2.800000 
 20190202, 1700, 2.200000 
 20190202, 1800, 2.000000 
 20190202, 1900, 2.100000 
 20190202, 2000, 2.300000 
 20190202, 2100, 2.600000 
 20190202, 2200, 3.000000 
 20190202, 2300, 3.300000 
 20190203, 0000, 3.800000 
 20190203, 0100, 4.200000 
 20190203, 0200, 4.400000 
 20190203, 0300, 4.600000 
 20190203, 0400, 4.700000 
 20190203, 0500, 4.900000 
 20190203, 0600, 4.600000 
 20190203, 0700, 4.000000 
 20190203, 0800, 3.900000 
 20190203, 0900, 3.800000 
 20190203, 1000, 3.700000 
 20190203, 1100, 3.600000 
 20190203, 1200, 3.300000 
 20190203, 1300, 2.800000 
 20190203, 1400, 1.700000 
 20190203, 1500, 0.400000 
 20190203, 1600, -0.300000 
 20190203, 1700, -1.000000 
 20190203, 1800, -1.400000 
 20190203, 1900, -2.000000 
 20190203, 2000, -2.300000 
 20190203, 2100, -2.700000 
 20190203, 2200, -3.200000 
 20190203, 2300, -2.400000 
 20190204, 0000, -1.200000 
 20190204, 0100, -0.100000 
 20190204, 0200, 0.900000 
 20190204, 0300, 1.700000 
 20190204, 0400, 2.600000 
 20190204, 0500, 2.800000 
 20190204, 0600, 2.300000 
 20190204, 0700, 1.600000 
 20190204, 0800, 0.200000 
 20190204, 0900, -0.400000 
 20190204, 1000, -1.000000 
 20190204, 1100, -1.300000 
 20190204, 1200, -1.600000 
 20190204, 1300, -1.800000 
 20190204, 1400, -2.100000 
 20190204, 1500, -2.500000 
 20190204, 1600, -2.900000 
 20190204, 1700, -3.100000 
 20190204, 1800, -3.200000 
 20190204, 1900, -3.400000 
 20190204, 2000, -2.400000 
 20190204, 2100, -2.000000 
 20190204, 2200, -1.900000 
 20190204, 2300, -0.600000 
 20190205, 0000, 1.600000 
 20190205, 0100, 3.900000 
 20190205, 0200, 6.300000 
 20190205, 0300, 8.100000 
 20190205, 0400, 9.600000 
 20190205, 0500, 9.800000 
 20190205, 0600, 9.200000 
 20190205, 0700, 8.400000 
 20190205, 0800, 7.200000 
 20190205, 0900, 5.700000 
 20190205, 1000, 4.400000 
 20190205, 1100, 3.600000 
